First_name,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Total_Fights,Win_Percentage
Lauren,Murphy,Lucky,170.18,125,67,right-handed,10,4,0,14,0.714285714
Lee,Murray,Lightning,190.5,185,NA,right-handed,8,2,1,11,0.772727273
Khalid,Murtazaliev, ,182.88,185,76,right-handed,14,2,0,16,0.875
Nico,Musoke,Nico,182.88,170,75,right-handed,13,5,0,18,0.722222222
Andre,Mussi, ,190.5,242,NA,right-handed,10,5,0,15,0.666666667
Magomed,Mustafaev, ,172.72,155,71,right-handed,13,2,0,15,0.866666667
Max,Mustaki,Mad,182.88,155,NA,right-handed,6,2,0,8,0.75
Elvis,Mutapcic,The King,182.88,185,72,right-handed,15,5,1,21,0.738095238
Ho Bae,Myeon, ,180.34,168,NA,right-handed,12,5,1,18,0.694444444
Yuji,Nagata, ,182.88,225,NA,right-handed,0,2,0,2,0
Greg,Nagy, ,185.42,210,NA,right-handed,1,3,0,4,0.25
Yukiya,Naito, ,185.42,205,NA,right-handed,15,6,2,23,0.695652174
Andrews,Nakahara, ,185.42,185,NA,right-handed,3,2,2,7,0.571428571
Rin,Nakai, ,154.94,135,60,right-handed,16,2,1,19,0.868421053
Kazuhiro,Nakamura,Kaz,180.34,205,70,right-handed,15,11,0,26,0.576923077
Daisuke,Nakamura, ,170.18,154,NA,right-handed,24,13,1,38,0.644736842
Yui Chul,Nam,The Korean Bulldozer,175.26,145,69,right-handed,18,6,1,25,0.74
Rose,Namajunas,Thug,165.1,115,65,right-handed,9,3,0,12,0.75
Yasuhito,Namekawa, ,175.26,205,NA,right-handed,25,16,4,45,0.6
Nad,Narimani,Smiler,172.72,145,70,right-handed,12,2,0,14,0.857142857
Fabio,Nascimento,Negao,177.8,185,NA,right-handed,11,5,0,16,0.6875
Allan,Nascimento,Puro Osso,175.26,125,NA,right-handed,17,4,0,21,0.80952381
Bobby,Nash,Nashty,182.88,170,74,right-handed,8,4,0,12,0.666666667
Reza,Nasri, ,180.34,205,NA,right-handed,2,1,0,3,0.666666667
Rafael,Natal,Sapo,182.88,185,76,right-handed,21,9,1,31,0.693548387
Stanislav,Nedkov,Stucky,180.34,205,71,right-handed,12,2,0,14,0.857142857
Josh,Neer,The Dentist,180.34,170,72,right-handed,33,13,1,47,0.712765957
Steve,Nelmark,The Sandman,182.88,240,NA,right-handed,2,1,0,3,0.666666667
Roy,Nelson,Big Country,182.88,263,72,right-handed,23,14,0,37,0.621621622
Mario,Neto,Sukata,182.88,229,NA,right-handed,11,5,0,16,0.6875
Antonio Braga,Neto, ,190.5,185,77,right-handed,9,3,0,12,0.75
Carlos,Newton,The Ronin,175.26,170,NA,right-handed,16,14,0,30,0.533333333
Francis,Ngannou,The Predator,193.04,250,83,right-handed,12,3,0,15,0.8
Alex,Nicholson,The Spartan,193.04,185,81,right-handed,7,4,0,11,0.636363636
Mike,Nickels, ,193.04,205,NA,right-handed,9,5,0,14,0.642857143
Jaimee,Nievera,Queenie,165.1,125,NA,right-handed,7,3,0,10,0.7
Tom,Niinimaki,Stoneface,175.26,145,69,right-handed,21,8,1,30,0.716666667
Ramsey,Nijem, ,180.34,155,75,right-handed,10,6,0,16,0.625
Mats,Nilsson, ,185.42,170,74,right-handed,11,4,1,16,0.71875
Soichi,Nishida, ,180.34,320,NA,right-handed,5,10,1,16,0.34375
Yosuke,Nishijima, ,175.26,205,NA,right-handed,0,5,0,5,0
Anthony,Njokuani,The Assassin,185.42,155,75,right-handed,16,9,0,25,0.64
Minotauro,Nogueira,Minotauro,190.5,240,77,right-handed,34,10,1,45,0.766666667
Alexandre Franca,Nogueira,Pequeno,170.18,145,NA,right-handed,13,6,2,21,0.666666667
KJ,Noons,King,177.8,155,72,right-handed,12,8,0,20,0.6
Sage,Northcutt,Super,182.88,170,71,right-handed,11,2,0,13,0.846153846
Scott,Norton,Hollywood,177.8,170,NA,right-handed,7,1,0,8,0.875
Jason,Novelli,Pepsi,182.88,155,75,right-handed,11,3,1,15,0.766666667
Phillipe,Nover,The Filipino Assassin,175.26,145,72,right-handed,12,8,1,21,0.595238095
Diego,Nunes,The Gun,167.64,145,67,right-handed,18,4,0,22,0.818181818
Amanda,Nunes,Lioness,172.72,135,69,right-handed,16,4,0,20,0.8
Khabib,Nurmagomedov,The Eagle,177.8,155,70,right-handed,27,0,0,27,1
Said,Nurmagomedov, ,172.72,125,70,right-handed,12,1,0,13,0.923076923
Jake,O'Brien,Irish,190.5,205,76,right-handed,13,4,0,17,0.764705882
TJ,O'Brien,The Spider,187.96,155,NA,right-handed,16,5,0,21,0.761904762
Sean,O'Connell,The Real OC,185.42,205,74,right-handed,17,9,0,26,0.653846154
Sean,O'Haire, ,195.58,270,NA,right-handed,4,2,0,6,0.666666667
Brendan,O'Reilly,Badger,170.18,170,69,right-handed,6,3,0,9,0.666666667
Nobuhiro,Obiya, ,172.72,145,NA,right-handed,12,5,1,18,0.694444444
Richard,Odoms,The Black Eagle,195.58,265,82,right-handed,8,1,0,9,0.888888889
Volkan,Oezdemir,No Time,187.96,205,75,right-handed,15,3,0,18,0.833333333
Naoya,Ogawa, ,193.04,255,NA,right-handed,7,2,0,9,0.777777778
Andy,Ogle,The Little Axe,172.72,145,69,right-handed,9,6,0,15,0.6
Michiyoshi,Ohara, ,177.8,205,NA,right-handed,0,2,0,2,0
Koji,Oishi, ,172.72,170,NA,right-handed,21,8,8,37,0.675675676
Takayuki,Okada,Giant Ochiai,185.42,290,NA,right-handed,3,3,2,8,0.5
Kazuki,Okubo, ,180.34,175,NA,right-handed,7,9,0,16,0.4375
Aleksei,Oleinik,The Boa Constrictor,187.96,240,80,right-handed,54,11,1,66,0.825757576
Rafaello,Oliveira,Tractor,172.72,155,71,right-handed,15,7,0,22,0.681818182
Charles,Oliveira,Do Bronx,177.8,155,74,right-handed,24,8,0,32,0.75
Ednaldo,Oliveira,Lula,195.58,205,79,right-handed,13,2,1,16,0.84375
Alex,Oliveira,Cowboy,180.34,170,76,right-handed,19,5,1,25,0.78
Wendell,Oliveira,The Machine,177.8,170,72,right-handed,24,9,0,33,0.727272727
Felipe,Olivieri, ,175.26,155,72,right-handed,14,5,0,19,0.736842105
